,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
464,Chardara,KZ,41.2547,67.9692,71.6,60,100,1.86,overcast clouds
465,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,79,100,14.97,overcast clouds
466,Rundu,NA,-17.9333,19.7667,55.71,49,6,7.27,clear sky
467,Paciran,ID,-6.8767,112.3761,77.43,87,90,5.59,overcast clouds
468,Perth,AU,-31.9333,115.8333,55.58,97,75,9.22,broken clouds
469,Wexford,IE,52.3342,-6.4575,54.21,88,7,10.96,clear sky
470,Mahon,ES,39.8885,4.2658,73.96,88,0,14.97,clear sky
471,Ambilobe,MG,-13.2,49.05,66.97,85,4,3.89,clear sky
472,Half Moon Bay,US,37.4636,-122.4286,85.78,62,0,24.16,clear sky
473,Moron,AR,-34.6534,-58.6198,55.78,61,64,3.06,broken clouds
474,Kieta,PG,-6.2167,155.6333,84.2,63,3,3.13,clear sky
475,Zhigansk,RU,66.7697,123.3711,44.76,62,49,25.19,scattered clouds
476,Westport,US,41.1415,-73.3579,72.09,39,0,11.5,clear sky
477,Pundaguitan,PH,6.3711,126.1689,82.98,72,59,4.47,broken clouds
478,Tamuin,MX,21.9833,-98.75,87.78,53,63,11.68,broken clouds
479,Iquique,CL,-20.2208,-70.1431,59.04,77,9,4.52,clear sky
480,Sur,OM,22.5667,59.5289,85.48,70,3,7.07,clear sky
481,Atasu,KZ,48.6814,71.6433,67.93,44,99,5.37,overcast clouds
482,Mandalgovi,MN,45.7625,106.2708,57.42,50,2,14.54,clear sky
483,Lusambo,CD,-4.9667,23.45,68.36,94,100,2.8,light rain
484,Dalvik,IS,65.9702,-18.5286,57.13,94,93,3.67,overcast clouds
485,Aasiaat,GL,68.7098,-52.8699,34.95,85,13,10.09,few clouds
486,Varzea Alegre,BR,-5.35,-40.3833,75.51,59,21,4.05,few clouds
487,Novyy Urgal,RU,51.0736,132.5642,64.0,66,80,1.88,broken clouds
488,Buala,SB,-8.145,159.5921,83.95,70,45,5.35,scattered clouds
489,Cuamba,MZ,-14.8031,36.5372,54.64,89,0,1.63,clear sky
490,Teahupoo,PF,-17.8333,-149.2667,78.76,73,33,18.14,scattered clouds
491,San Andres,CO,12.5847,-81.7006,82.42,78,75,4.61,broken clouds
492,Sao Filipe,CV,14.8961,-24.4956,73.98,93,91,8.68,light rain
493,Mayumba,GA,-3.432,10.6554,71.26,89,97,7.94,overcast clouds
494,Vejle,DK,55.7093,9.5357,53.33,85,35,4.88,scattered clouds
495,Alexandria,EG,31.2156,29.9553,73.36,73,40,9.22,scattered clouds
496,Araouane,ML,18.9048,-3.5265,92.77,30,43,7.27,scattered clouds
497,Akonolinga,CM,3.7667,12.25,66.15,99,88,2.84,light rain
498,Beringovskiy,RU,63.05,179.3167,47.43,80,100,12.21,overcast clouds
499,Nakamura,JP,32.9833,132.9333,76.19,84,100,2.24,light rain
500,Kiama,AU,-34.6833,150.8667,62.01,94,100,1.99,overcast clouds
501,Skibbereen,IE,51.55,-9.2667,57.11,88,13,9.17,few clouds
502,La Palma,US,33.8464,-118.0467,88.9,47,0,18.41,clear sky
503,Shelui,TZ,-4.3667,34.2,65.03,66,97,8.48,overcast clouds
504,Carlagan,PH,14.975,122.0456,85.14,71,21,3.22,light rain
505,Grand Island,US,40.925,-98.342,93.61,42,25,20.98,scattered clouds
506,Biltine,TD,14.5333,20.9167,86.27,44,76,2.57,broken clouds
507,Salta,AR,-24.7859,-65.4117,55.99,60,0,8.05,clear sky
508,Santander,ES,43.4647,-3.8044,62.46,93,100,3.44,overcast clouds
509,Visnes,NO,59.3556,5.2242,53.65,87,13,8.05,few clouds
510,Rafaela,AR,-31.2503,-61.4867,55.98,37,2,1.01,clear sky
511,Zigong,CN,29.3416,104.7769,78.55,75,37,0.89,scattered clouds
512,Haines Junction,CA,60.7522,-137.5108,62.55,39,27,12.66,scattered clouds
513,Marawi,PH,7.9986,124.2928,75.49,80,30,1.16,scattered clouds
514,Aracruz,BR,-19.8203,-40.2733,70.81,82,54,6.78,broken clouds
515,Charters Towers,AU,-20.1,146.2667,67.53,59,70,11.77,broken clouds
516,Pimenta Bueno,BR,-11.6725,-61.1936,73.87,74,5,2.64,clear sky
517,Lekoni,GA,-1.5843,14.2591,76.55,63,93,6.58,overcast clouds
518,Kavaratti,IN,10.5669,72.642,82.13,78,50,14.32,scattered clouds
519,Lembeni,TZ,-3.7833,37.6167,59.0,94,77,2.33,broken clouds
520,Strezhevoy,RU,60.7333,77.5889,62.91,65,42,2.48,scattered clouds
521,Lincoln,US,40.8,-96.667,94.17,49,0,21.85,clear sky
522,Taguatinga,BR,-12.3857,-46.5711,74.19,30,44,5.26,scattered clouds
523,Kolar,IN,13.1333,78.1333,70.56,88,99,6.55,light rain
524,Falun,SE,60.6036,15.626,55.81,91,88,2.91,overcast clouds
525,Eberndorf,AT,46.5914,14.6436,72.97,91,37,2.62,scattered clouds
526,Lagunas,PE,-5.2269,-75.6753,72.75,98,97,0.92,overcast clouds
527,Micheweni,TZ,-4.9667,39.8333,75.99,76,92,11.48,overcast clouds
528,Edgewater,US,28.9889,-80.9023,84.43,79,20,8.05,few clouds
529,West Wendover,US,40.7391,-114.0733,67.21,28,40,17.27,scattered clouds
530,Dzerzhinsk,RU,56.2389,43.4631,60.62,100,40,8.95,scattered clouds
531,Tianpeng,CN,30.9866,103.9393,75.67,70,100,3.71,overcast clouds
532,Ratangarh,IN,28.0833,74.6,80.4,70,56,7.54,broken clouds
533,Dese,ET,11.1333,39.6333,58.01,69,98,2.28,overcast clouds
534,Sandovo,RU,58.4602,36.4128,44.76,85,85,5.73,overcast clouds
535,Jinotepe,NI,11.8496,-86.199,72.91,92,100,3.33,light rain
536,Yumen,CN,40.2833,97.2,73.22,19,100,11.86,overcast clouds
537,Meulaboh,ID,4.1363,96.1285,75.38,89,94,4.14,overcast clouds
538,Mogzon,RU,51.7435,111.9606,60.26,72,99,7.76,overcast clouds
539,Tekkali,IN,18.6167,84.2333,82.22,83,99,6.35,overcast clouds
540,Broken Hill,AU,-31.95,141.4333,57.06,48,63,13.85,broken clouds
541,Kirakira,SB,-10.4544,161.9205,84.36,67,47,4.54,scattered clouds
542,Belaya Gora,RU,68.5333,146.4167,56.35,42,40,20.45,scattered clouds
543,Taksimo,RU,56.3444,114.8794,66.76,64,75,1.66,light rain
544,Altay,CN,47.8667,88.1167,63.66,51,1,3.71,clear sky
545,Tual,ID,-5.6667,132.75,78.82,81,90,1.83,light rain
546,Coatesville,US,39.9832,-75.8238,75.4,26,0,10.36,clear sky
547,Tanout,NE,14.9709,8.8879,83.28,40,46,7.36,scattered clouds
548,Mbinga,TZ,-10.9333,35.0167,51.78,83,2,1.59,clear sky
549,Groa,NO,62.65,8.7167,51.21,88,3,0.6,light rain
550,Kushiro,JP,42.975,144.3747,63.55,100,75,5.75,moderate rain
551,Tromso,NO,69.6496,18.957,47.37,87,100,3.44,overcast clouds
552,Warri,NG,5.5167,5.75,73.8,94,93,3.98,overcast clouds
553,Pangai,TO,-19.8,-174.35,82.51,83,75,5.75,broken clouds
554,Golden,US,39.7555,-105.2211,84.65,34,75,11.5,broken clouds
555,Santana Do Acarau,BR,-3.4606,-40.2122,74.16,93,60,2.64,broken clouds
556,Baranain,ES,42.8057,-1.6773,66.29,77,0,9.22,clear sky
557,Port Lincoln,AU,-34.7333,135.8667,58.15,66,98,15.21,overcast clouds
558,Purworejo,ID,-6.7872,111.9224,78.58,81,82,7.11,broken clouds
559,La Ciotat,FR,43.1748,5.6045,76.89,82,0,6.53,clear sky
560,Vila,PT,42.0304,-8.1588,46.71,89,95,3.4,overcast clouds
561,Mandan,US,46.8267,-100.8896,96.78,39,0,19.57,clear sky
562,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.52,99,100,2.89,overcast clouds
563,Freeport,US,40.6576,-73.5832,73.38,35,0,23.02,clear sky
564,Mount Gambier,AU,-37.8333,140.7667,49.42,89,83,15.55,light rain
565,Lafiagi,NG,8.8667,5.4167,77.9,80,97,2.01,overcast clouds
566,Viedma,AR,-40.8135,-62.9967,39.02,68,29,2.21,scattered clouds
567,Grants,US,35.1473,-107.8514,64.63,72,40,6.91,scattered clouds
568,Abu Dhabi,AE,24.4667,54.3667,93.31,83,6,3.44,clear sky
569,Ozu,JP,33.5,132.55,71.22,82,100,0.51,overcast clouds
570,Thinadhoo,MV,0.5333,72.9333,83.43,70,61,10.18,broken clouds
571,Karlsfeld,DE,48.2167,11.4667,70.41,70,78,5.14,broken clouds
572,Garachine,PA,8.0647,-78.3628,78.31,84,100,14.74,overcast clouds
573,Manggar,ID,-2.8833,108.2667,81.01,79,50,8.16,scattered clouds
574,La Ronge,CA,55.1001,-105.2842,68.25,68,100,4.61,overcast clouds
575,Kalmunai,LK,7.4167,81.8167,79.05,84,91,3.94,overcast clouds
576,Saint Anthony,US,45.0205,-93.218,98.38,37,0,18.41,clear sky
577,Guangshui,CN,31.6199,113.9978,79.41,81,32,1.54,scattered clouds
578,Vao,NC,-22.6667,167.4833,70.9,57,9,18.21,clear sky
579,Shebunino,RU,46.4339,141.8603,55.18,97,100,3.24,light rain
580,Suez,EG,29.9737,32.5263,70.38,75,0,8.59,clear sky
581,Vila Nova De Milfontes,PT,37.7238,-8.7828,63.25,81,8,11.86,clear sky
582,Labuhan,ID,-6.8844,112.2051,77.47,85,80,6.29,broken clouds
583,Leningradskiy,RU,69.3833,178.4167,53.49,60,58,5.95,broken clouds
584,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,19.57,scattered clouds
585,Arman,RU,59.7,150.1667,52.02,85,100,5.26,overcast clouds
586,Baikunthpur,IN,23.25,82.55,77.31,70,81,3.62,broken clouds
587,Bull Savanna,JM,17.8868,-77.5902,76.95,77,99,12.88,overcast clouds
588,Ucluelet,CA,48.9329,-125.5528,61.11,81,85,1.99,overcast clouds
589,Ust-Karsk,RU,52.7011,118.8077,63.32,98,100,2.46,moderate rain
590,Suhbaatar,MN,50.2314,106.2078,63.12,69,5,5.44,clear sky
591,Mahajanga,MG,-15.7167,46.3167,73.42,78,40,3.44,scattered clouds
592,Karratha,AU,-20.7377,116.8463,69.39,47,0,15.82,clear sky
593,Aklavik,CA,68.2191,-135.0107,57.24,42,56,18.32,broken clouds
594,Dangtu,CN,31.5723,118.4928,78.85,67,18,1.99,few clouds
595,Mitsamiouli,KM,-11.3847,43.2844,77.45,71,4,3.83,clear sky
596,Leshukonskoye,RU,64.8989,45.7622,49.66,68,100,3.38,overcast clouds
597,Fukue,JP,32.6881,128.8419,73.76,100,75,5.75,fog
598,Lerwick,GB,60.1545,-1.1494,50.0,94,4,7.67,clear sky
599,Voitsberg,AT,47.0333,15.15,61.74,87,72,4.59,broken clouds
600,Nador,MA,35.174,-2.9287,77.07,57,0,8.05,clear sky
601,Mega,ET,4.05,38.3,56.16,88,89,11.43,light rain
602,Corinto,GR,37.9407,22.9573,70.9,55,1,5.01,clear sky
603,Karema,TZ,-6.8205,30.4389,69.42,60,47,3.87,scattered clouds
604,Lubango,AO,-14.9172,13.4925,50.05,42,0,5.12,clear sky
605,Nabire,ID,-3.3667,135.4833,76.8,92,97,3.8,overcast clouds
606,Igarka,RU,67.4667,86.5833,62.22,41,57,7.11,broken clouds
607,Bafia,CM,4.75,11.2333,67.14,99,80,2.19,broken clouds
608,San Angelo,US,31.4638,-100.437,97.02,23,0,12.66,clear sky
609,Altamira,BR,-3.2033,-52.2064,76.33,79,85,1.48,overcast clouds
610,Sturgeon Bay,US,44.8342,-87.377,71.56,49,100,14.97,overcast clouds
611,Jumla,NP,29.2747,82.1838,56.3,90,100,0.43,overcast clouds
612,Quelimane,MZ,-17.8786,36.8883,66.15,88,0,2.3,clear sky
613,Swift Current,CA,50.2834,-107.8014,61.61,94,100,11.5,light rain
614,Oussouye,SN,12.485,-16.5469,78.89,83,100,11.5,overcast clouds
615,Cloquet,US,46.7216,-92.4594,90.79,52,27,8.05,scattered clouds
616,Icod De Los Vinos,ES,28.3724,-16.7119,69.6,93,40,14.88,scattered clouds
617,Pasni,PK,25.2631,63.471,82.11,85,25,17.07,scattered clouds
618,Umm Kaddadah,SD,13.6017,26.6876,89.65,19,94,8.43,overcast clouds
619,Mackay,AU,-21.15,149.2,68.68,81,99,11.95,overcast clouds
620,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,59,0,2.24,clear sky
621,Kwinana,AU,-32.25,115.7667,56.23,80,100,3.27,overcast clouds
622,Bunia,CD,1.5667,30.25,61.83,95,99,2.28,overcast clouds
623,Kibala,TD,9.1104,18.3463,78.75,83,0,0.0,clear sky
624,Miranda,CO,3.2499,-76.2281,75.33,94,95,3.76,moderate rain
625,Bardiyah,LY,31.7561,25.0865,72.32,73,0,2.73,clear sky
626,Oskarshamn,SE,57.2645,16.4484,45.99,66,80,7.31,broken clouds
627,Porbandar,IN,21.6422,69.6093,84.2,80,100,16.04,overcast clouds
628,Tongren,CN,27.7172,109.1853,75.15,97,89,1.25,overcast clouds
629,Arlit,NE,18.7369,7.3853,91.58,22,31,9.86,scattered clouds
630,Yar-Sale,RU,66.8333,70.8333,61.07,87,100,3.71,light rain
631,Tabou,CI,4.423,-7.3528,77.18,79,19,7.72,few clouds
632,Moree,AU,-29.4667,149.85,60.73,60,69,3.18,broken clouds
633,Jamsa,FI,61.8642,25.19,51.15,93,100,5.26,overcast clouds
634,Ugoofaaru,MV,5.6667,73.0,82.63,74,53,11.97,broken clouds
635,Cadillac,US,44.2519,-85.4012,73.31,35,40,11.5,scattered clouds
636,Nakusp,CA,50.2499,-117.8023,66.54,59,98,1.14,overcast clouds
637,Launceston,AU,-41.45,147.1667,54.81,86,40,5.75,scattered clouds
638,Lat Yao,TH,15.751,99.7893,80.06,70,100,3.49,overcast clouds
639,Biala Podlaska,PL,52.0324,23.1165,64.02,73,3,8.84,clear sky
640,Remanso,BR,-9.6179,-42.0831,77.83,45,9,9.51,clear sky
641,Tondano,ID,1.3038,124.9112,69.89,89,99,2.39,light rain
642,Tommot,RU,58.9564,126.2925,73.89,47,1,4.23,clear sky
643,Tsiroanomandidy,MG,-18.7667,46.0333,62.98,71,55,4.97,broken clouds
644,Udachnyy,RU,66.4167,112.4,46.45,60,16,15.75,few clouds
645,Los Alamos,US,35.8881,-106.307,68.29,37,100,24.16,heavy intensity rain
646,Lom Sak,TH,16.7798,101.2422,73.29,94,20,1.14,few clouds
647,Pitanga,BR,-24.7572,-51.7614,51.73,91,84,1.19,light rain
648,Hofn,IS,64.2539,-15.2082,50.58,97,70,15.95,broken clouds
649,Bacolod,PH,10.6667,122.95,82.2,76,88,0.2,overcast clouds
650,Saiha,IN,22.4833,92.9667,69.44,98,100,2.01,overcast clouds
651,Mackenzie,CA,55.2999,-123.1698,66.42,52,40,4.61,scattered clouds
652,Mafra,BR,-26.1114,-49.8053,49.51,94,34,2.59,scattered clouds
653,San Antonio,US,29.4241,-98.4936,101.07,32,20,14.97,few clouds
654,Rexburg,US,43.826,-111.7897,64.38,36,75,14.97,broken clouds
655,Naranjos,MX,21.35,-97.6833,81.63,73,94,8.46,overcast clouds
656,Shimoda,JP,34.6667,138.95,76.1,90,100,13.4,moderate rain
657,Belle Glade,US,26.6845,-80.6676,84.02,86,60,21.36,broken clouds
658,San-Pedro,CI,4.7485,-6.6363,76.96,83,83,7.56,broken clouds
659,Bandipur,NP,27.9333,84.4167,66.97,85,61,2.08,broken clouds
660,Aykhal,RU,66.0,111.5,46.47,54,8,17.27,clear sky
661,Dzilam Gonzalez,MX,21.2833,-88.9333,83.57,67,99,10.56,overcast clouds
662,Dickinson,US,29.4608,-95.0513,100.13,46,20,13.8,few clouds
663,Luena,AO,-11.7833,19.9167,52.47,56,81,2.89,broken clouds
664,Bollnas,SE,61.3482,16.3946,50.97,88,100,4.54,overcast clouds
665,Svetlaya,RU,46.5389,138.3297,54.03,94,92,8.3,overcast clouds
666,San Ramon,US,37.7799,-121.978,87.49,36,0,17.27,clear sky
667,Winnemucca,US,40.973,-117.7357,60.85,31,100,4.61,overcast clouds
668,Hondo,JP,32.45,130.2,73.08,94,100,6.62,overcast clouds
669,Isangel,VU,-19.55,169.2667,74.95,78,40,13.94,scattered clouds
670,Korem,ET,12.5058,39.5228,60.08,58,100,2.19,overcast clouds
671,Sainte-Marie,RE,-20.8968,55.5496,68.41,79,20,6.91,few clouds
672,Puerto Leguizamo,CO,-0.1934,-74.7819,71.78,99,61,1.19,broken clouds
673,Wad Rawah,SD,15.1603,33.1397,81.63,57,94,23.62,overcast clouds
674,West Point,US,33.6076,-88.6503,89.67,42,0,11.5,clear sky
675,Kikwit,CD,-5.041,18.8162,72.46,56,71,1.72,broken clouds
676,Amapa,BR,1.0,-52.0,71.65,98,19,1.34,few clouds
677,Iralaya,HN,15.0,-83.2333,78.58,88,100,15.61,overcast clouds
678,Qasigiannguit,GL,68.8193,-51.1922,39.45,81,16,4.03,few clouds
679,Motala,SE,58.5371,15.0365,51.57,79,0,8.5,clear sky
680,Port Moresby,PG,-9.4431,147.1797,83.62,74,40,5.75,scattered clouds
681,Paita,PE,-5.0892,-81.1144,65.32,80,13,17.43,few clouds
682,Esso,RU,55.9333,158.7,52.7,72,100,3.62,light rain
683,Bairnsdale,AU,-37.8333,147.6167,53.8,58,100,2.89,overcast clouds
684,Santa Rosa,PH,14.3122,121.1114,86.09,78,19,5.19,few clouds
685,Tautira,PF,-17.7333,-149.15,78.24,74,47,18.34,scattered clouds
686,Maihar,IN,24.2667,80.75,78.66,76,100,7.96,overcast clouds
687,Bo Phloi,TH,14.3236,99.5161,77.52,78,94,5.97,overcast clouds
688,San Quintin,MX,30.4833,-115.95,68.47,63,0,16.11,clear sky
689,Lavrentiya,RU,65.5833,-171.0,56.17,48,10,9.62,clear sky
690,Chapleau,CA,47.8405,-83.4034,60.89,55,100,3.44,overcast clouds
691,Mabaruma,GY,8.2,-59.7833,74.77,87,59,5.08,broken clouds
692,Lorengau,PG,-2.0226,147.2712,83.61,67,15,4.16,few clouds
693,Bonfim,BR,3.0833,-59.95,76.37,87,99,6.11,overcast clouds
694,Tahta,EG,26.7693,31.5021,80.94,27,0,10.76,clear sky
695,Sosnovo-Ozerskoye,RU,52.5249,111.5418,62.8,53,100,8.75,overcast clouds
