City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Fortuna,40.5982,-124.1573,64.65,66,75,5.99,US,2022-06-19 22:29:31
1,Ushuaia,-54.8,-68.3,29.86,100,100,3.44,AR,2022-06-19 22:29:32
2,Barrow,71.2906,-156.7887,46.42,76,0,13.8,US,2022-06-19 22:29:32
3,Shumskiy,54.8318,99.1328,54.64,90,87,2.46,RU,2022-06-19 22:29:32
4,Busselton,-33.65,115.3333,58.96,79,100,2.91,AU,2022-06-19 22:29:33
5,Albany,42.6001,-73.9662,69.46,36,3,1.01,US,2022-06-19 22:29:33
6,Lebu,-37.6167,-73.65,51.67,87,100,10.27,CL,2022-06-19 22:29:34
7,Haines Junction,60.7522,-137.5108,62.55,36,29,11.5,CA,2022-06-19 22:29:34
8,Esperance,-33.8667,121.9,48.04,80,100,9.82,AU,2022-06-19 22:29:34
9,Port Elizabeth,-33.918,25.5701,47.1,93,0,5.75,ZA,2022-06-19 22:29:35
10,Pangai,-19.8,-174.35,82.51,83,75,5.75,TO,2022-06-19 22:29:35
11,Port Alfred,-33.5906,26.891,57.85,72,71,7.67,ZA,2022-06-19 22:29:36
12,Punta Arenas,-53.15,-70.9167,35.71,87,20,12.66,CL,2022-06-19 22:28:33
13,Mahebourg,-20.4081,57.7,71.89,73,40,8.05,MU,2022-06-19 22:29:36
14,Riyadh,24.6877,46.7219,87.94,7,4,4.38,SA,2022-06-19 22:25:40
15,East London,-33.0153,27.9116,62.47,61,100,8.25,ZA,2022-06-19 22:29:37
16,Provideniya,64.3833,-173.3,46.51,76,40,8.95,RU,2022-06-19 22:29:37
17,Sarahan,31.5167,77.8,54.43,67,3,6.67,IN,2022-06-19 22:29:37
18,Azanka,58.0401,64.7893,55.17,98,19,1.79,RU,2022-06-19 22:29:38
19,Banjar,-8.19,114.9675,75.72,90,78,4.56,ID,2022-06-19 22:29:38
20,Nemuro,43.3236,145.575,55.6,100,100,7.07,JP,2022-06-19 22:29:38
21,Novaya Zaimka,56.4857,66.9241,59.23,98,99,5.37,RU,2022-06-19 22:29:39
22,Keetmanshoop,-26.5833,18.1333,52.5,49,2,14.63,NA,2022-06-19 22:29:39
23,Terrak,65.087,12.3715,51.67,91,25,1.19,NO,2022-06-19 22:29:40
24,Thompson,55.7435,-97.8558,84.36,45,75,5.75,CA,2022-06-19 22:29:40
25,Launceston,-41.45,147.1667,53.8,85,40,8.05,AU,2022-06-19 22:29:40
26,Bredasdorp,-34.5322,20.0403,49.64,83,11,4.05,ZA,2022-06-19 22:29:41
27,Chuy,-33.6971,-53.4616,49.01,61,74,6.44,UY,2022-06-19 22:29:41
28,Petroussa,41.2,24.0167,64.92,59,91,1.57,GR,2022-06-19 22:29:42
29,Touros,-5.1989,-35.4608,77.02,79,36,10.89,BR,2022-06-19 22:29:42
30,Leh,34.1667,77.5833,43.2,87,100,4.61,IN,2022-06-19 22:29:42
31,Kidal,18.4411,1.4078,93.74,24,95,3.94,ML,2022-06-19 22:29:43
32,Tuktoyaktuk,69.4541,-133.0374,37.4,87,40,16.11,CA,2022-06-19 22:29:43
33,Swift Current,50.2834,-107.8014,67.01,77,75,12.66,CA,2022-06-19 22:29:43
34,Kahului,20.8947,-156.47,89.62,43,20,19.57,US,2022-06-19 22:29:44
35,Cape Town,-33.9258,18.4232,56.12,75,0,11.5,ZA,2022-06-19 22:27:39
36,Kapaa,22.0752,-159.319,82.38,74,75,12.66,US,2022-06-19 22:29:44
37,Fukue,32.6881,128.8419,72.86,95,100,8.77,JP,2022-06-19 22:29:45
38,Hermanus,-34.4187,19.2345,52.97,82,26,11.43,ZA,2022-06-19 22:29:45
39,Saint-Philippe,-21.3585,55.7679,65.79,78,55,13.69,RE,2022-06-19 22:29:46
40,Tasiilaq,65.6145,-37.6368,50.16,67,69,4.03,GL,2022-06-19 22:29:46
41,Hithadhoo,-0.6,73.0833,83.37,69,77,7.4,MV,2022-06-19 22:29:46
42,Chokurdakh,70.6333,147.9167,46.54,66,91,20.36,RU,2022-06-19 22:29:47
43,Caravelas,-17.7125,-39.2481,71.19,81,1,5.61,BR,2022-06-19 22:29:47
44,Vaini,-21.2,-175.2,80.76,83,75,12.66,TO,2022-06-19 22:29:48
45,Westport,41.1415,-73.3579,74.08,36,0,19.57,US,2022-06-19 22:25:34
46,Mar Del Plata,-38.0023,-57.5575,47.95,79,40,4.0,AR,2022-06-19 22:29:11
47,Sorland,67.667,12.6934,48.06,92,68,11.03,NO,2022-06-19 22:30:48
48,San Lazaro,18.0387,-88.6622,80.33,86,100,6.82,BZ,2022-06-19 22:30:49
49,Saskylakh,71.9167,114.0833,41.29,53,12,1.59,RU,2022-06-19 22:30:49
50,Middleton,53.55,-2.2,56.91,76,67,4.14,GB,2022-06-19 22:30:49
51,Kibala,9.1104,18.3463,78.75,83,0,0.0,TD,2022-06-19 22:30:50
52,Katobu,-4.9408,122.5276,75.36,90,100,2.57,ID,2022-06-19 22:30:50
53,Erzin,36.9559,36.2,70.79,85,3,1.99,TR,2022-06-19 22:30:51
54,Lavrentiya,65.5833,-171.0,54.19,52,10,7.52,RU,2022-06-19 22:30:51
55,Krasnovishersk,60.4078,57.082,50.34,96,50,2.82,RU,2022-06-19 22:30:51
56,Mataura,-46.1927,168.8643,41.49,92,95,1.1,NZ,2022-06-19 22:30:52
57,Carnarvon,-24.8667,113.6333,63.7,77,0,12.91,AU,2022-06-19 22:30:52
58,Praia,14.9215,-23.5087,75.74,88,98,6.91,CV,2022-06-19 22:29:12
59,Ellensburg,46.9965,-120.5479,75.24,43,40,24.16,US,2022-06-19 22:28:18
60,Lucapa,-8.4192,20.7447,64.74,34,96,2.15,AO,2022-06-19 22:30:53
61,Komsomolskiy,40.4272,71.7189,77.72,27,97,0.0,UZ,2022-06-19 22:30:53
62,Zlobin,45.2924,14.6541,61.9,59,0,3.44,HR,2022-06-19 22:30:54
63,Tezu,27.9167,96.1667,72.01,99,100,4.03,IN,2022-06-19 22:30:54
64,Rikitea,-23.1203,-134.9692,73.09,63,73,21.45,PF,2022-06-19 22:30:54
65,Milledgeville,33.0801,-83.2321,93.34,24,0,4.61,US,2022-06-19 22:30:55
66,Ponta Do Sol,32.6667,-17.1,69.01,72,67,9.89,PT,2022-06-19 22:30:55
67,Madimba,-10.4,40.3333,68.88,85,3,8.39,TZ,2022-06-19 22:30:55
68,Avarua,-21.2078,-159.775,80.65,65,40,16.11,CK,2022-06-19 22:30:56
69,Camacha,33.0833,-16.3333,63.82,77,40,19.57,PT,2022-06-19 22:30:56
70,Aksarka,66.5606,67.7975,59.45,93,96,5.1,RU,2022-06-19 22:30:57
71,Pahrump,36.2083,-115.9839,85.24,10,0,5.99,US,2022-06-19 22:30:57
72,Manitouwadge,49.1215,-85.8403,56.3,65,100,11.01,CA,2022-06-19 22:30:57
73,Ayni,39.3941,68.5377,58.77,80,100,4.29,TJ,2022-06-19 22:30:58
74,Dingle,10.9995,122.6711,79.39,83,100,2.01,PH,2022-06-19 22:30:58
75,Baindur,13.8667,74.6333,78.8,84,100,2.89,IN,2022-06-19 22:30:58
76,Jamestown,42.097,-79.2353,66.52,34,0,10.36,US,2022-06-19 22:27:48
77,Dzilam Gonzalez,21.2833,-88.9333,84.34,65,99,11.68,MX,2022-06-19 22:30:59
78,Bambous Virieux,-20.3428,57.7575,71.85,73,40,8.05,MU,2022-06-19 22:30:59
79,Coxim,-18.5067,-54.76,75.31,71,30,3.13,BR,2022-06-19 22:31:00
80,Bluff,-46.6,168.3333,41.81,80,96,2.73,NZ,2022-06-19 22:31:00
81,Ribeira Grande,38.5167,-28.7,63.77,75,24,23.96,PT,2022-06-19 22:31:00
82,Yellowknife,62.456,-114.3525,72.12,23,20,12.66,CA,2022-06-19 22:30:13
83,Uribia,11.7139,-72.266,85.5,52,8,21.16,CO,2022-06-19 22:31:01
84,Kavieng,-2.5744,150.7967,81.59,77,22,6.67,PG,2022-06-19 22:31:02
85,Norman Wells,65.282,-126.8329,77.04,36,75,12.66,CA,2022-06-19 22:31:02
86,Bonthe,7.5264,-12.505,77.9,74,38,5.48,SL,2022-06-19 22:31:02
87,Victoria,22.2855,114.1577,84.38,86,99,15.99,HK,2022-06-19 22:30:26
88,Laerdalsoyri,61.098,7.4816,48.94,68,79,2.21,NO,2022-06-19 22:31:03
89,Aksu,41.1231,80.2644,64.54,43,79,5.14,CN,2022-06-19 22:31:03
90,Ust-Ilimsk,58.0006,102.6619,58.33,93,100,2.28,RU,2022-06-19 22:31:04
91,Hilo,19.7297,-155.09,85.28,63,75,10.36,US,2022-06-19 22:31:04
92,Gat,31.61,34.7642,74.8,100,0,2.1,IL,2022-06-19 22:31:05
93,Havre,49.5833,0.3333,61.2,82,75,18.41,FR,2022-06-19 22:27:49
94,New Norfolk,-42.7826,147.0587,51.93,84,100,1.01,AU,2022-06-19 22:32:05
95,Kilindoni,-7.9139,39.6668,77.76,70,40,16.42,TZ,2022-06-19 22:32:06
96,Bethel,41.3712,-73.414,71.96,38,40,14.97,US,2022-06-19 22:32:06
97,Cabo San Lucas,22.8909,-109.9124,90.61,69,0,14.97,MX,2022-06-19 22:28:33
98,Necochea,-38.5473,-58.7368,46.22,66,81,6.85,AR,2022-06-19 22:32:06
99,Gorgan,36.8387,54.4348,69.76,83,0,0.0,IR,2022-06-19 22:32:07
100,Codrington,-38.2667,141.9667,54.27,64,68,21.97,AU,2022-06-19 22:32:07
101,Iqaluit,63.7506,-68.5145,56.93,38,75,16.11,CA,2022-06-19 22:32:08
102,Rawson,-43.3002,-65.1023,41.22,61,1,8.19,AR,2022-06-19 22:32:08
103,Puerto Ayora,-0.7393,-90.3518,75.16,95,79,5.01,EC,2022-06-19 22:32:08
104,Clyde River,70.4692,-68.5914,37.63,81,20,23.02,CA,2022-06-19 22:32:09
105,Port Hardy,50.6996,-127.4199,57.38,72,40,10.36,CA,2022-06-19 22:30:24
106,La Tuque,47.4334,-72.7824,70.05,26,0,13.8,CA,2022-06-19 22:27:41
107,Butaritari,3.0707,172.7902,81.81,77,83,14.63,KI,2022-06-19 22:32:09
108,Nikolskoye,59.7035,30.7861,54.81,75,24,7.52,RU,2022-06-19 22:32:10
109,Whitecourt,54.1502,-115.6855,65.44,55,75,18.41,CA,2022-06-19 22:32:10
110,Bosaso,11.2842,49.1816,93.38,36,98,17.54,SO,2022-06-19 22:32:11
111,Kargasok,59.0556,80.8572,60.22,89,35,0.29,RU,2022-06-19 22:32:07
112,Geraldton,-28.7667,114.6,52.21,93,50,9.22,AU,2022-06-19 22:31:23
113,Mogadishu,2.0371,45.3438,78.71,78,15,16.82,SO,2022-06-19 22:28:37
114,Dikson,73.5069,80.5464,37.44,84,100,13.98,RU,2022-06-19 22:32:11
115,Curup,-3.4667,102.5333,67.46,97,100,1.07,ID,2022-06-19 22:32:12
116,Castro,-24.7911,-50.0119,51.06,93,49,5.66,BR,2022-06-19 22:32:12
117,Prince Rupert,54.3161,-130.3201,57.29,78,75,11.5,CA,2022-06-19 22:30:10
118,Lagoa,39.05,-27.9833,62.98,73,100,22.03,PT,2022-06-19 22:32:13
119,Kodiak,57.79,-152.4072,51.31,87,100,11.5,US,2022-06-19 22:32:13
120,Floro,61.5996,5.0328,55.36,62,0,4.61,NO,2022-06-19 22:32:14
121,Ribas Do Rio Pardo,-20.4431,-53.7592,66.33,80,2,5.55,BR,2022-06-19 22:32:14
122,Ozernovskiy,51.5,156.5167,47.34,91,97,8.68,RU,2022-06-19 22:32:15
123,Broken Hill,-31.95,141.4333,53.53,57,66,10.29,AU,2022-06-19 22:32:15
124,Mackay,-21.15,149.2,65.68,88,99,12.03,AU,2022-06-19 22:28:57
125,Huarmey,-10.0681,-78.1522,65.01,79,3,12.53,PE,2022-06-19 22:32:16
126,Asau,46.4333,26.4,59.92,71,0,4.27,RO,2022-06-19 22:32:16
127,Astana,51.1801,71.446,57.15,82,0,4.47,KZ,2022-06-19 22:32:17
128,Lata,40.1629,-8.3327,54.82,89,68,4.32,PT,2022-06-19 22:32:17
129,Rio Gallegos,-51.6226,-69.2181,35.65,80,0,17.27,AR,2022-06-19 22:27:53
130,Gallup,35.5281,-108.7426,82.24,30,40,21.85,US,2022-06-19 22:32:18
131,Buchanan,5.8808,-10.0467,77.49,74,8,5.61,LR,2022-06-19 22:32:18
132,Varkaus,62.3153,27.873,50.31,97,100,10.0,FI,2022-06-19 22:32:19
133,Kaniama,-7.5667,24.1833,73.09,44,69,1.95,CD,2022-06-19 22:32:19
134,Leningradskiy,69.3833,178.4167,52.86,62,55,4.12,RU,2022-06-19 22:32:19
135,Tiksi,71.6872,128.8694,34.7,76,100,17.54,RU,2022-06-19 22:32:20
136,Cam Ranh,11.9214,109.1591,76.96,83,20,0.0,VN,2022-06-19 22:32:20
137,Atuona,-9.8,-139.0333,77.7,77,30,14.61,PF,2022-06-19 22:32:21
138,Khatanga,71.9667,102.5,48.27,50,54,6.55,RU,2022-06-19 22:32:21
139,Mesker-Yurt,43.2515,45.9072,64.71,64,0,3.22,RU,2022-06-19 22:32:21
140,Janakkala,60.9,24.6,48.6,94,96,4.63,FI,2022-06-19 22:33:22
141,Adrar,20.5022,-10.0711,88.14,39,83,5.75,MR,2022-06-19 22:33:22
142,Dong Hoi,17.4833,106.6,83.55,68,92,6.82,VN,2022-06-19 22:33:22
143,San Cristobal,7.7669,-72.225,69.98,88,93,3.6,VE,2022-06-19 22:33:23
144,Aldan,58.6031,125.3894,69.48,47,1,6.53,RU,2022-06-19 22:33:23
145,Xinzhou,38.4092,112.7333,74.34,60,59,1.61,CN,2022-06-19 22:33:24
146,Santa Maria,-29.6842,-53.8069,47.5,93,0,2.3,BR,2022-06-19 22:33:24
147,Faanui,-16.4833,-151.75,79.39,75,28,20.69,PF,2022-06-19 22:33:24
148,Longyearbyen,78.2186,15.6401,40.84,65,75,17.27,SJ,2022-06-19 22:33:25
149,Swan Hill,-35.3378,143.5544,50.49,83,77,9.08,AU,2022-06-19 22:33:25
150,Hobart,-42.8794,147.3294,52.27,84,75,4.61,AU,2022-06-19 22:33:00
151,Waipawa,-41.4122,175.5153,43.66,69,99,17.47,NZ,2022-06-19 22:33:26
152,Nelson Bay,-32.7167,152.15,57.99,97,100,8.12,AU,2022-06-19 22:33:26
153,Kirakira,-10.4544,161.9205,83.16,71,36,4.23,SB,2022-06-19 22:33:27
154,Yabelo,4.8833,38.0833,59.07,72,86,5.03,ET,2022-06-19 22:33:27
155,Birin,26.8865,88.0718,61.21,97,97,2.84,NP,2022-06-19 22:33:27
156,Aklavik,68.2191,-135.0107,56.77,42,53,18.68,CA,2022-06-19 22:33:28
157,Georgetown,5.4112,100.3354,78.73,97,20,3.44,MY,2022-06-19 22:30:24
158,Yulara,-25.2406,130.9889,58.71,36,0,5.41,AU,2022-06-19 22:33:28
159,Constitucion,-35.3333,-72.4167,52.36,69,100,3.74,CL,2022-06-19 22:33:28
160,Cidreira,-30.1811,-50.2056,54.41,80,1,4.09,BR,2022-06-19 22:33:29
161,Miri,4.4148,114.0089,77.14,94,40,3.44,MY,2022-06-19 22:33:29
162,Pisco,-13.7,-76.2167,62.02,88,2,6.91,PE,2022-06-19 22:33:30
163,Bathsheba,13.2167,-59.5167,83.01,69,40,19.57,BB,2022-06-19 22:33:30
164,Mayumba,-3.432,10.6554,70.9,91,97,7.78,GA,2022-06-19 22:33:30
165,Havoysund,70.9963,24.6622,43.03,85,24,7.7,NO,2022-06-19 22:33:31
166,Salacgriva,57.7536,24.3581,51.44,86,75,8.9,LV,2022-06-19 22:33:31
167,Clarksburg,39.2807,-80.3445,75.65,34,0,8.05,US,2022-06-19 22:29:00
168,Vanimo,-2.6741,141.3028,80.73,76,31,3.8,PG,2022-06-19 22:33:32
169,New Port Richey,28.2442,-82.7193,83.98,63,9,8.97,US,2022-06-19 22:33:32
170,Grindavik,63.8424,-22.4338,48.67,100,100,18.41,IS,2022-06-19 22:29:08
171,Nailsea,51.4324,-2.7585,58.12,84,100,11.5,GB,2022-06-19 22:33:32
172,Bayji,34.9311,43.487,95.65,14,0,16.37,IQ,2022-06-19 22:33:33
173,Tilichiki,60.4667,166.1,44.74,94,100,1.88,RU,2022-06-19 22:33:33
174,Katsuura,35.1333,140.3,73.58,91,100,17.2,JP,2022-06-19 22:33:34
175,Seoul,37.5683,126.9778,73.0,86,75,2.3,KR,2022-06-19 22:28:39
176,Kysyl-Syr,63.8986,122.7617,51.82,55,83,13.04,RU,2022-06-19 22:33:34
177,Luderitz,-26.6481,15.1594,55.45,73,0,4.09,NA,2022-06-19 22:33:34
178,Badarpur,24.9,92.6,74.37,98,100,2.15,IN,2022-06-19 22:33:35
179,Tabas,33.5959,56.9244,91.62,19,0,6.91,IR,2022-06-19 22:33:35
180,Boende,-0.2167,20.8667,70.12,97,99,1.39,CD,2022-06-19 22:33:36
181,Poum,-20.2333,164.0167,74.35,59,4,21.3,NC,2022-06-19 22:33:36
182,Kudahuvadhoo,2.6708,72.8944,83.35,68,26,10.45,MV,2022-06-19 22:33:36
183,Mirnyy,62.5353,113.9611,50.23,66,100,8.99,RU,2022-06-19 22:33:37
184,Chicama,-7.8447,-79.1469,61.34,76,31,9.24,PE,2022-06-19 22:33:37
185,Chalmette,29.9427,-89.9634,97.0,51,40,6.91,US,2022-06-19 22:33:37
186,Conceicao Do Araguaia,-8.2578,-49.2647,77.63,48,60,0.38,BR,2022-06-19 22:33:38
187,Bellevue,47.6104,-122.2007,69.04,62,75,8.05,US,2022-06-19 22:33:38
188,Vangaindrano,-23.35,47.6,64.89,88,99,1.52,MG,2022-06-19 22:34:39
189,Daule,-1.865,-79.9792,86.0,65,20,4.88,EC,2022-06-19 22:34:39
190,Altamont,42.2068,-121.7372,65.77,38,40,18.41,US,2022-06-19 22:34:39
191,Vardo,70.3705,31.1107,42.78,93,100,5.75,NO,2022-06-19 22:34:40
